epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.814,1.22598,3.16728,2.81741,1.46667,0.02125,0.97143,0.40648,0.29107,0.02,0.91429,0.37978,0.18941,0.62851,2.45353,2.53432,1.10115,0.00054,0.00054,0.00054
2,201.535,0.9514,2.04149,2.14264,1.21759,0.59225,0.51429,0.53649,0.35975,0.55935,0.48571,0.46488,0.19814,1.03057,2.92872,2.02781,1.37606,0.00108911,0.00108911,0.00108911
3,294.19,0.98876,2.05129,1.69576,1.21773,0.31816,0.51429,0.2868,0.17077,0.25971,0.4377,0.18319,0.07356,1.29222,4.0099,2.7913,1.76766,0.00162713,0.00162713,0.00162713
4,383.366,0.91147,2.29857,1.70001,1.20092,0.33283,0.53333,0.35501,0.2215,0.12071,0.21905,0.03923,0.01073,1.21122,9.40038,3.35373,1.73368,0.0019406,0.0019406,0.0019406
5,473.836,1.04295,3.57867,1.72274,1.2844,0.33283,0.53333,0.35501,0.2215,0.12071,0.21905,0.03923,0.01073,1.21122,9.40038,3.35373,1.73368,0.0019208,0.0019208,0.0019208
6,562.668,1.00935,2.40719,1.67759,1.23901,0.58622,0.47227,0.47513,0.31286,0.52367,0.39789,0.37248,0.13845,1.14364,3.46165,1.88243,1.54556,0.001901,0.001901,0.001901
7,657.234,0.98826,2.34008,1.64559,1.23867,0.51467,0.60599,0.51287,0.34681,0.42925,0.55238,0.43203,0.1726,1.04019,4.86577,2.49843,1.54648,0.0018812,0.0018812,0.0018812
8,747.755,0.96172,2.12049,1.57958,1.21688,0.39885,0.69524,0.4999,0.34486,0.36259,0.61905,0.43679,0.18742,0.91982,3.86909,3.28466,1.32651,0.0018614,0.0018614,0.0018614
9,838.099,0.94217,2.20769,1.57078,1.20695,0.45185,0.66667,0.58557,0.39461,0.42671,0.64762,0.48216,0.19442,0.94038,3.26441,3.50158,1.32901,0.0018416,0.0018416,0.0018416
10,929.08,0.9272,1.95948,1.56151,1.16545,0.56376,0.71429,0.62417,0.44084,0.53164,0.67619,0.49671,0.21738,0.87032,3.70167,3.28564,1.284,0.0018218,0.0018218,0.0018218
11,1023.42,0.8691,1.83869,1.46746,1.14056,0.62015,0.71429,0.70622,0.49836,0.59111,0.67619,0.64529,0.26091,0.87037,3.06193,2.51043,1.27314,0.001802,0.001802,0.001802
12,1113.86,0.81098,1.79258,1.43411,1.11789,0.61883,0.70476,0.72556,0.52973,0.70956,0.60952,0.66283,0.36684,0.85177,2.39423,1.60679,1.31469,0.0017822,0.0017822,0.0017822
13,1204.11,0.82721,1.73097,1.38792,1.10231,0.61883,0.70476,0.72556,0.52973,0.70956,0.60952,0.66283,0.36684,0.85177,2.39423,1.60679,1.31469,0.0017624,0.0017624,0.0017624
14,1297.49,0.81383,1.73283,1.36659,1.10379,0.55453,0.6995,0.65386,0.4817,0.53914,0.67619,0.62407,0.36814,0.82178,2.01156,1.54807,1.28219,0.0017426,0.0017426,0.0017426
15,1387.35,0.79028,1.54383,1.45107,1.14974,0.52486,0.73333,0.62505,0.4785,0.53393,0.74286,0.62593,0.38065,0.73977,1.92275,1.55904,1.21573,0.0017228,0.0017228,0.0017228
16,1477.4,0.81982,1.62912,1.34452,1.10726,0.5533,0.77143,0.67963,0.48888,0.55291,0.63602,0.60817,0.38463,0.79943,1.91176,1.51083,1.28751,0.001703,0.001703,0.001703
17,1570.26,0.76583,1.42438,1.31826,1.07675,0.63609,0.72381,0.71334,0.49947,0.62817,0.69188,0.65312,0.4192,0.88643,1.86765,1.43995,1.359,0.0016832,0.0016832,0.0016832
18,1662.12,0.80539,1.46413,1.32674,1.1108,0.66868,0.73333,0.76128,0.5676,0.65408,0.71429,0.69215,0.41349,0.80987,2.07935,1.318,1.25456,0.0016634,0.0016634,0.0016634
19,1756.18,0.76755,1.53265,1.24896,1.10094,0.70356,0.79048,0.77713,0.60423,0.68226,0.7619,0.71199,0.42314,0.7166,2.09363,1.16956,1.2336,0.0016436,0.0016436,0.0016436
20,1850.39,0.73826,1.41041,1.22159,1.04699,0.62148,0.8381,0.76711,0.6076,0.68361,0.67619,0.71073,0.47204,0.7558,1.68416,1.24182,1.29917,0.0016238,0.0016238,0.0016238
21,1942.4,0.73847,1.33012,1.24487,1.06561,0.62148,0.8381,0.76711,0.6076,0.68361,0.67619,0.71073,0.47204,0.7558,1.68416,1.24182,1.29917,0.001604,0.001604,0.001604
