epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8496,1.05276,2.68961,2.41807,1.45659,0.47543,0.86667,0.57989,0.39553,0.40083,0.74286,0.39201,0.18402,0.87144,4.6447,6.93779,1.42405,0.00026,0.00026,0.00026
2,134.372,0.72834,1.68668,1.36117,1.08426,0.49433,0.68571,0.63766,0.42714,0.08925,0.12381,0.05507,0.01317,1.09155,21.3805,5.03189,1.6801,0.000529308,0.000529308,0.000529308
3,200.641,0.76073,1.96207,1.29111,1.11815,0.38957,0.38095,0.35212,0.26656,0.18643,0.06667,0.03461,0.00812,1.35414,15.5073,2.90097,1.7666,0.000787528,0.000787528,0.000787528
4,266.939,0.9509,2.52874,1.56027,1.25402,0.09625,0.4381,0.07396,0.0465,0.0294,0.13333,0.01002,0.00279,2.07435,50.697,21.2498,4.14863,0.00103466,0.00103466,0.00103466
5,332.7,1.08787,2.82857,1.45466,1.30536,0.00042,0.01905,0.00022,2e-05,0,0,0,0,2.36205,3239.62,2115.78,8.26212,0.0012707,0.0012707,0.0012707
6,399.192,0.96622,2.97484,1.38324,1.21694,0.00198,0.08571,0.0011,0.00032,0,0,0,0,2.03571,425.754,2500,4.87728,0.00149566,0.00149566,0.00149566
7,466.415,0.96425,3.04589,1.46036,1.24676,0.03986,0.60952,0.03593,0.01736,0.00726,0.12381,0.00326,0.00102,1.91655,84.1508,214.975,2.67473,0.00170953,0.00170953,0.00170953
8,532.95,0.98586,3.52932,1.51637,1.21475,0.04508,0.69524,0.03896,0.01676,0.00628,0.09524,0.00241,0.00047,2.04944,62.6998,69.7963,2.78562,0.0017228,0.0017228,0.0017228
9,599.185,0.95718,3.37118,1.367,1.1812,0.04956,0.69973,0.04601,0.02305,0.02505,0.37143,0.01552,0.0036,1.64359,13.8261,118.302,2.22768,0.0016832,0.0016832,0.0016832
10,665.384,0.99307,2.93944,1.53321,1.26279,0.08932,0.4381,0.07417,0.03156,0.02493,0.09524,0.00733,0.00188,2.12076,21.3246,21.8723,2.73812,0.0016436,0.0016436,0.0016436
11,732.034,0.96717,3.00633,1.36252,1.2041,0.42936,0.4381,0.33207,0.14101,0.07789,0.09524,0.01313,0.0043,2.27103,35.0618,2.50805,2.97516,0.001604,0.001604,0.001604
12,798,0.98779,2.94943,1.30398,1.23987,0.39108,0.48571,0.42096,0.19453,0.19872,0.2381,0.11847,0.0269,1.8081,18.9192,4.47516,2.3775,0.0015644,0.0015644,0.0015644
13,863.931,0.96785,2.57992,1.27454,1.22939,0.47107,0.5619,0.5322,0.32735,0.13336,0.1619,0.05306,0.00699,1.35586,11.3932,2.18695,1.90405,0.0015248,0.0015248,0.0015248
14,930.933,0.86172,2.46261,1.20597,1.1473,0.47107,0.5619,0.5322,0.32735,0.13336,0.1619,0.05306,0.00699,1.35586,11.3932,2.18695,1.90405,0.0014852,0.0014852,0.0014852
15,997.898,0.88289,2.47719,1.11831,1.14305,0.51781,0.67619,0.51344,0.29914,0.29832,0.39048,0.18175,0.05357,1.43203,7.53212,2.85767,2.26967,0.0014456,0.0014456,0.0014456
16,1065.36,0.84333,2.25153,1.08039,1.15357,0.5889,0.70945,0.65601,0.42789,0.35812,0.47619,0.28665,0.10744,1.23903,6.79685,1.96531,1.99388,0.001406,0.001406,0.001406
17,1132.32,0.7384,2.14884,1.05304,1.09106,0.77052,0.6381,0.69006,0.47484,0.41342,0.45714,0.33995,0.12666,1.09027,6.04778,1.55508,1.95505,0.0013664,0.0013664,0.0013664
18,1199.06,0.76085,2.01647,0.97962,1.1256,0.72909,0.76897,0.78685,0.55491,0.53065,0.44151,0.38863,0.14691,1.00277,5.67494,1.67619,1.71124,0.0013268,0.0013268,0.0013268
19,1266.59,0.68776,1.9504,0.88032,1.09164,0.68223,0.79048,0.80567,0.61275,0.6247,0.72381,0.68596,0.30705,0.81389,4.24856,1.68162,1.42396,0.0012872,0.0012872,0.0012872
20,1334.55,0.69303,1.68575,0.92197,1.06935,0.7078,0.76129,0.76281,0.55388,0.63696,0.6851,0.62348,0.30527,0.81866,3.76136,1.66757,1.32996,0.0012476,0.0012476,0.0012476
21,1401.7,0.68135,1.59367,0.92377,1.05408,0.59566,0.77167,0.70245,0.48073,0.52447,0.70476,0.59084,0.32465,0.92614,3.4431,2.18931,1.40461,0.001208,0.001208,0.001208
22,1468.93,0.66917,1.58722,0.88718,1.04048,0.59566,0.77167,0.70245,0.48073,0.52447,0.70476,0.59084,0.32465,0.92614,3.4431,2.18931,1.40461,0.0011684,0.0011684,0.0011684
23,1536.33,0.67027,1.69873,0.96102,1.08042,0.66544,0.75772,0.74383,0.53352,0.61525,0.70057,0.63916,0.36009,0.88986,3.00788,1.83698,1.48675,0.0011288,0.0011288,0.0011288
24,1604.38,0.65776,1.54873,0.85961,1.05307,0.68056,0.8381,0.83058,0.63011,0.66608,0.81905,0.78293,0.42354,0.76046,2.85132,1.28137,1.2902,0.0010892,0.0010892,0.0010892
25,1671.7,0.66175,1.49729,0.83852,1.06183,0.81769,0.79048,0.86651,0.69334,0.78687,0.74286,0.79091,0.44152,0.7075,2.7871,1.01726,1.22209,0.0010496,0.0010496,0.0010496
26,1739.28,0.62266,1.48368,0.83615,1.04535,0.77534,0.8381,0.85081,0.67778,0.74808,0.80952,0.82073,0.49766,0.69669,2.21834,0.9289,1.23604,0.00101,0.00101,0.00101
27,1806.19,0.59534,1.30857,0.82817,1.04897,0.75419,0.82857,0.85094,0.67602,0.73303,0.8,0.81288,0.52004,0.74175,2.3681,0.92382,1.30004,0.0009704,0.0009704,0.0009704
28,1874.24,0.62046,1.37212,0.82135,1.04391,0.72433,0.75073,0.80623,0.6291,0.7484,0.74286,0.76373,0.50321,0.87256,2.24488,1.03349,1.44007,0.0009308,0.0009308,0.0009308
29,1941.44,0.59638,1.31025,0.78868,1.01068,0.67321,0.80443,0.7783,0.61221,0.67321,0.80443,0.7594,0.50188,0.83533,2.03558,1.06235,1.41576,0.0008912,0.0008912,0.0008912
30,2008.34,0.57906,1.15926,0.82529,1.00264,0.67321,0.80443,0.7783,0.61221,0.67321,0.80443,0.7594,0.50188,0.83533,2.03558,1.06235,1.41576,0.0008516,0.0008516,0.0008516
31,2074.99,0.56345,1.20268,0.77676,1.01886,0.73151,0.75238,0.79495,0.60976,0.69599,0.71955,0.75063,0.48043,0.73623,2.2277,1.09789,1.32621,0.000812,0.000812,0.000812
32,2141.79,0.5383,1.20262,0.74594,0.98044,0.71174,0.729,0.81087,0.63046,0.64767,0.72381,0.75511,0.49232,0.76195,1.69485,0.97176,1.32069,0.0007724,0.0007724,0.0007724
33,2209.08,0.55623,1.20994,0.75838,0.99385,0.73404,0.70476,0.7945,0.6273,0.7154,0.68571,0.72603,0.50319,0.68451,1.87345,1.02717,1.26388,0.0007328,0.0007328,0.0007328
34,2275.7,0.53023,1.1028,0.77352,0.97082,0.71918,0.74286,0.79068,0.62653,0.69281,0.71429,0.73962,0.50587,0.75096,2.09402,0.94786,1.40831,0.0006932,0.0006932,0.0006932
35,2342.56,0.5116,1.04582,0.69726,0.95815,0.69161,0.81163,0.80299,0.65511,0.69161,0.81163,0.79385,0.53394,0.6591,2.01129,0.9005,1.30799,0.0006536,0.0006536,0.0006536
36,2409.63,0.54877,1.0733,0.75355,1.01679,0.79595,0.81733,0.83859,0.68177,0.76718,0.79048,0.81046,0.56501,0.68038,1.84655,0.81699,1.34213,0.000614,0.000614,0.000614
37,2477.41,0.56813,1.21218,0.77144,1.0325,0.8269,0.81891,0.88468,0.73708,0.83783,0.84762,0.89007,0.61714,0.55315,1.41459,0.72308,1.14134,0.0005744,0.0005744,0.0005744
38,2544,0.50422,0.93619,0.69668,0.96578,0.8269,0.81891,0.88468,0.73708,0.83783,0.84762,0.89007,0.61714,0.55315,1.41459,0.72308,1.14134,0.0005348,0.0005348,0.0005348
39,2611.19,0.49995,0.89974,0.68749,0.96566,0.77591,0.8381,0.88033,0.72131,0.77748,0.8381,0.8764,0.622,0.58964,1.22587,0.73189,1.14991,0.0004952,0.0004952,0.0004952
40,2678.35,0.52613,1.03854,0.70437,0.98577,0.84526,0.7619,0.88816,0.74661,0.84526,0.7619,0.88333,0.64914,0.59615,1.1659,0.7307,1.1596,0.0004556,0.0004556,0.0004556
41,2744.65,0.54581,1.25614,0.87311,1.04611,0.77871,0.85714,0.8839,0.7551,0.76992,0.84762,0.88087,0.64541,0.59987,1.27784,0.70641,1.15431,0.000416,0.000416,0.000416
42,2811.54,0.52597,1.29315,0.76913,1.01756,0.79938,0.87281,0.8903,0.76044,0.78574,0.87318,0.88408,0.62941,0.58765,1.39134,0.7026,1.13311,0.0003764,0.0003764,0.0003764
43,2877.86,0.5179,1.25757,0.76055,1.01349,0.82197,0.83549,0.87868,0.74275,0.86191,0.79048,0.85328,0.62301,0.61109,1.48213,0.72845,1.12233,0.0003368,0.0003368,0.0003368
44,2943.91,0.53253,1.04378,0.74023,0.98879,0.80828,0.84319,0.86906,0.74233,0.91718,0.7619,0.85522,0.64854,0.58961,1.30859,0.71676,1.11296,0.0002972,0.0002972,0.0002972
45,3009.56,0.51805,1.09312,0.73605,0.98949,0.79788,0.8271,0.85891,0.7381,0.79788,0.8271,0.8422,0.65325,0.5755,1.26708,0.70994,1.12487,0.0002576,0.0002576,0.0002576
46,3076.76,0.48163,0.96631,0.71594,0.97669,0.79788,0.8271,0.85891,0.7381,0.79788,0.8271,0.8422,0.65325,0.5755,1.26708,0.70994,1.12487,0.000218,0.000218,0.000218
47,3145.49,0.45928,0.90344,0.69303,0.94645,0.80884,0.84627,0.85427,0.73781,0.80768,0.83995,0.85349,0.65301,0.57444,1.29134,0.70185,1.15142,0.0001784,0.0001784,0.0001784
48,3213.89,0.45256,0.91632,0.67822,0.97243,0.85089,0.81525,0.84635,0.72958,0.86694,0.80667,0.83411,0.65462,0.56443,1.28375,0.69519,1.16033,0.0001388,0.0001388,0.0001388
